"","Player","Odds","Result","year"
"56","Chris Paul",400,"",2008
"57","Dwight Howard",600,"",2008
"58","FIELD",800,"",2008
"59","Tim Duncan",800,"",2008
"60","Dirk Nowitzki",1000,"",2008
"61","Dwyane Wade",1000,"",2008
"62","Steve Nash",1000,"",2008
"63","Amare Stoudemire",1200,"",2008
"64","Carlos Boozer",1200,"",2008
"65","Carmelo Anthony",1200,"",2008
"66","Kevin Garnett",1200,"",2008
"67","Chris Bosh",1500,"",2008
"68","Deron Williams",1500,"",2008
"69","Paul Pierce",1500,"",2008
"70","Tracy McGrady",1500,"",2008
"71","Yao Ming",1500,"",2008
"72","Baron Davis",2000,"",2008
"73","Elton Brand",2000,"",2008
"74","Tony Parker",2000,"",2008
"75","LeBron James",275,"**  WINNER  **",2009
"76","Kobe Bryant",350,"",2009
"77","Dwyane Wade",550,"",2009
"78","Dwight Howard",800,"",2009
"79","Chris Paul",1000,"",2009
"80","Carmelo Anthony",1400,"",2009
"81","Dirk Nowitzki",1400,"",2009
"82","Tim Duncan",1600,"",2009
"83","Brandon Roy",1800,"",2009
"84","Tony Parker",2000,"",2009
"85","Deron Williams",2200,"",2009
"86","Shaquille O'Neal",2500,"",2009
"87","Gilbert Arenas",2800,"",2009
"88","Kevin Garnett",2800,"",2009
"89","Amare Stoudemire",3300,"",2009
"90","Carlos Boozer",3300,"",2009
"91","Chris Bosh",3300,"",2009
"92","Kevin Durant",3300,"",2009
"93","Pau Gasol",3300,"",2009
"94","Paul Pierce",3300,"",2009
"95","Steve Nash",3300,"",2009
"96","Danny Granger",4000,"",2009
"97","Joe Johnson",5000,"",2009
"98","Derrick Rose",2500,"**  WINNER  **",2010
"99","Kevin Durant",250,"",2010
"100","Kobe Bryant",300,"",2010
"101","LeBron James",300,"",2010
"102","Dwight Howard",700,"",2010
"103","Dwyane Wade",800,"",2010
"104","Carmelo Anthony",1200,"",2010
"105","Chris Paul",1600,"",2010
"106","Dirk Nowitzki",2000,"",2010
"107","Amare Stoudemire",3000,"",2010
"108","Deron Williams",4000,"",2010
"109","Steve Nash",4000,"",2010
"110","Chris Bosh",5000,"",2010
"111","Pau Gasol",5000,"",2010
"112","LeBron James",250,"**  WINNER  **",2011
"113","Kevin Durant",385,"",2011
"114","Derrick Rose",400,"",2011
"115","Dwight Howard",500,"",2011
"116","Kobe Bryant",500,"",2011
"117","Chris Paul",800,"",2011
"118","Dwyane Wade",800,"",2011
"119","Carmelo Anthony",1000,"",2011
"120","Blake Griffin",1200,"",2011
"121","Dirk Nowitzki",1300,"",2011
"122","Amare Stoudemire",1500,"",2011
"123","Deron Williams",2000,"",2011
"124","Kevin Love",2500,"",2011
"125","Russell Westbrook",2500,"",2011
"126","Pau Gasol",3000,"",2011
"127","Zach Randolph",4000,"",2011
"128","Monta Ellis",5000,"",2011
"129","Rajon Rondo",5000,"",2011
"130","John Wall",6000,"",2011
"131","LeBron James",160,"**  WINNER  **",2012
"132","Kevin Durant",275,"",2012
"133","Kobe Bryant",900,"",2012
"134","Dwight Howard",1200,"",2012
"135","Russell Westbrook",1400,"",2012
"136","Chris Paul",1500,"",2012
"137","Deron Williams",1800,"",2012
"138","Dwyane Wade",1800,"",2012
"139","Kevin Love",2000,"",2012
"140","Blake Griffin",2500,"",2012
"141","Carmelo Anthony",2500,"",2012
"142","Rajon Rondo",2500,"",2012
"143","Tony Parker",2500,"",2012
"144","Derrick Rose",3000,"",2012
"145","Dirk Nowitzki",3300,"",2012
"146","Andrew Bynum",5000,"",2012
"147","Amare Stoudemire",6600,"",2012
"148","Josh Smith",6600,"",2012
"149","Andre Iguodala",10000,"",2012
"150","Danny Granger",10000,"",2012
"151","Pau Gasol",10000,"",2012
"152","Kevin Durant",300,"**  WINNER  **",2013
"153","LeBron James",150,"",2013
"154","Carmelo Anthony",750,"",2013
"155","Derrick Rose",1000,"",2013
"156","Chris Paul",1200,"",2013
"157","James Harden",1400,"",2013
"158","Kobe Bryant",2000,"",2013
"159","Russell Westbrook",2000,"",2013
"160","Tony Parker",2000,"",2013
"161","Dwight Howard",2500,"",2013
"162","Kyrie Irving",2500,"",2013
"163","Blake Griffin",3300,"",2013
"164","John Wall",3300,"",2013
"165","Paul George",3300,"",2013
"166","Tim Duncan",3300,"",2013
"167","Dirk Nowitzki",4000,"",2013
"168","Kevin Love",4000,"",2013
"169","Rajon Rondo",4000,"",2013
"170","Stephen Curry",4000,"",2013
"171","Andre Iguodala",5000,"",2013
"172","Brook Lopez",5000,"",2013
"173","Deron Williams",5000,"",2013
"174","Dwyane Wade",5000,"",2013
"175","Damian Lillard",6600,"",2013
"176","LaMarcus Aldridge",6600,"",2013
"177","Roy Hibbert",6600,"",2013
"178","Chris Bosh",8000,"",2013
"179","Rudy Gay",8000,"",2013
"180","Al Horford",10000,"",2013
"181","Andrew Bynum",10000,"",2013
"182","David Lee",10000,"",2013
"183","David West",10000,"",2013
"184","Joakim Noah",10000,"",2013
"185","Paul Pierce",10000,"",2013
"186","DeMarcus Cousins",12500,"",2013
"187","Stephen Curry",1600,"**  WINNER  **",2014
"188","LeBron James",-110,"",2014
"189","Kevin Durant",650,"",2014
"190","Blake Griffin",1000,"",2014
"191","Derrick Rose",1000,"",2014
"192","Anthony Davis",1500,"",2014
"193","Russell Westbrook",1600,"",2014
"194","Chris Paul",1800,"",2014
"195","Carmelo Anthony",2200,"",2014
"196","Kobe Bryant",2500,"",2014
"197","Kyrie Irving",3000,"",2014
"198","LaMarcus Aldridge",3000,"",2014
"199","James Harden",3500,"",2014
"200","Kevin Love",3500,"",2014
"201","Dwight Howard",5000,"",2014
"202","Stephen Curry",650,"**  WINNER  **",2015
"203","LeBron James",250,"",2015
"204","Anthony Davis",450,"",2015
"205","Kevin Durant",650,"",2015
"206","James Harden",800,"",2015
"207","Russell Westbrook",1200,"",2015
"208","Blake Griffin",1400,"",2015
"209","Chris Paul",2500,"",2015
"210","Lamarcus Aldridge",4000,"",2015
"211","John Wall",4500,"",2015
"212","Carmelo Anthony",5000,"",2015
"213","Derrick Rose",5000,"",2015
"214","Kawhi Leonard",5000,"",2015
"215","Paul George",6400,"",2015
"216","Demarcus Cousins",7500,"",2015
"217","Kyrie Irving",8000,"",2015
"218","Dwayne Wade",9000,"",2015
"219","Dwight Howard",9000,"",2015
"220","Jimmy Butler",9000,"",2015
"221","Bradley Beal",10000,"",2015
"222","Chris Bosh",10000,"",2015
"223","Damian Lillard",10000,"",2015
"224","Klay Thompson",10000,"",2015
"225","Marc Gasol",10000,"",2015
"226","Pau Gasol",10000,"",2015
"227","Tyreke Evans",12500,"",2015
"228","Victor Oladipo",12500,"",2015
"229","Draymond Green",15000,"",2015
"230","Jeff Teague",15000,"",2015
"231","Kevin Love",15000,"",2015
"232","Paul Millsap",15000,"",2015
"233","Tony Parker",15000,"",2015
"234","Kobe Bryant",17500,"",2015
"235","Andre Drummond",20000,"",2015
"236","DeAndre Jordan",20000,"",2015
"237","DeMar DeRozan",20000,"",2015
"238","Eric Bledsoe",20000,"",2015
"239","Joakim Noah",20000,"",2015
"240","Kemba Walker",20000,"",2015
"241","Nikola Vucevic",20000,"",2015
"242","Reggie Jackson",20000,"",2015
"243","Rudy Gay",20000,"",2015
"244","Ty Lawson",20000,"",2015
"245","Zach Randolph",20000,"",2015
"246","Khris Middleton",25000,"",2015
"247","Al Horford",30000,"",2015
"248","Brook Lopez",30000,"",2015
"249","Chandler Parsons",30000,"",2015
"250","Goran Dragic",30000,"",2015
"251","Gordon Hayward",30000,"",2015
"252","Mike Conley",30000,"",2015
"253","Monta Ellis",30000,"",2015
"254","Ricky Rubio",30000,"",2015
"255","Serge Ibaka",30000,"",2015
"256","Kyle Lowry",40000,"",2015
"257","Tim Duncan",48500,"",2015
"258","Al Jefferson",50000,"",2015
"259","Andrew Wiggins",50000,"",2015
"260","Brandon Jennings",50000,"",2015
"261","David Lee",50000,"",2015
"262","Deron Williams",50000,"",2015
"263","Dirk Nowitzki",50000,"",2015
"264","Isaiah Thomas",50000,"",2015
"265","Jabari Parker",50000,"",2015
"266","Joe Johnson",50000,"",2015
"267","Jonas Valanciunas",50000,"",2015
"268","Kenneth Faried",50000,"",2015
"269","Marcin Gortat",50000,"",2015
"270","Michael Carter-Williams",50000,"",2015
"271","Nerlens Noel",50000,"",2015
"272","Russell Westbrook",200,"**  WINNER  **",2016
"273","LeBron James",450,"",2016
"274","Stephen Curry",450,"",2016
"275","Anthony Davis",1000,"",2016
"276","James Harden",1000,"",2016
"277","Kawhi Leonard",1000,"",2016
"278","Kevin Durant",1000,"",2016
"279","Paul George",2200,"",2016
"280","Blake Griffin",3300,"",2016
"281","Carmelo Anthony",3300,"",2016
"282","Chris Paul",3300,"",2016
"283","Damian Lillard",3300,"",2016
"284","Karl Anthony Towns",3300,"",2016
"285","Kyrie Irving",3300,"",2016
"286","DeMarcus Cousins",4000,"",2016
"287","Giannis Antetokounmpo",4000,"",2016
"288","Draymond Green",6000,"",2016
"289","John Wall",6000,"",2016
"290","Isaiah Thomas",6600,"",2016
"291","Kyle Lowry",6600,"",2016
"292","DeMar DeRozan",10000,"",2016
"293","Derrick Rose",10000,"",2016
"294","Dwyane Wade",10000,"",2016
"295","Hassan Whiteside",10000,"",2016
"296","Jimmy Butler",10000,"",2016
"297","laMarcus Aldridge",10000,"",2016
"298","Andre Drummond",12500,"",2016
"299","Andrew Wiggins",12500,"",2016
"300","Bradley Beal",12500,"",2016
"301","Gordon Hayward",17500,"",2016
"302","Kevin Love",17500,"",2016
"303","Dwight Howard",20000,"",2016
"304","Kristaps Porzingis",20000,"",2016
"305","Ben Simmons",30000,"",2016
"306","Brandon Ingram",30000,"",2016
"307","Dirk Nowitzki",30000,"",2016
"308","James Harden",1100,"**  WINNER  **",2017
"309","LeBron James",400,"",2017
"310","Kawhi Leonard",410,"",2017
"311","Kevin Durant",550,"",2017
"312","Russell Westbrook",700,"",2017
"313","Giannis Antetokounmpo",850,"",2017
"314","Stephen Curry",900,"",2017
"315","Kyrie Irving",1700,"",2017
"316","Anthony Davis",2200,"",2017
"317","John Wall",3500,"",2017
"318","Paul George",4000,"",2017
"319","Chris Paul",4300,"",2017
"320","Joel Embiid",5500,"",2017
"321","Karl-Anthony Towns",5500,"",2017
"322","Blake Griffin",7500,"",2017
"323","Damian Lillard",8000,"",2017
"324","DeMarcus Cousins",8000,"",2017
"325","Nikola Jokic",8000,"",2017
"326","Ben Simmons",8500,"",2017
"327","DeMar DeRozan",8500,"",2017
"328","Jimmy Butler",10000,"",2017
"329","Andrew Wiggins",12000,"",2017
"330","Draymond Green",12000,"",2017
"331","Gordon Hayward",12000,"",2017
"332","Kristaps Porzingis",15000,"",2017
"333","Carmelo Anthony",20000,"",2017
"334","Isaiah Thomas",25000,"",2017
"335","Kemba Walker",25000,"",2017
"336","Kyle Lowry",25000,"",2017
"337","Brad Beal",30000,"",2017
"338","Devin Booker",30000,"",2017
"339","Jeff Teague",30000,"",2017
"340","Kevin Love",30000,"",2017
"341","Klay Thompson",30000,"",2017
"342","Marc Gasol",30000,"",2017
"343","Mike Conley",30000,"",2017
"344","Paul Millsap",30000,"",2017
"345","Rudy Gobert",30000,"",2017
"346","DeAndre Jordan",35000,"",2017
"347","Dwayne Wade",35000,"",2017
"348","Harrison Barnes",35000,"",2017
"349","Hassan Whiteside",35000,"",2017
"350","Ricky Rubio",35000,"",2017
"351","CJ McCollum",40000,"",2017
"352","Dennis Schroeder",40000,"",2017
"353","Nicolas Batum",40000,"",2017
"354","Andre Drummond",50000,"",2017
"355","Brook Lopez",50000,"",2017
"356","De'aaron Fox",50000,"",2017
"357","Dwight Howard",50000,"",2017
"358","Eric Bledsoe",50000,"",2017
"359","Goran Dragic",50000,"",2017
"360","Jayson Tatus",50000,"",2017
"361","Josh Jackson",50000,"",2017
"362","Lamarcus Aldridge",50000,"",2017
"363","Lonzo Ball",50000,"",2017
"364","Markelle Fultz",50000,"",2017
"365","Rajon Rondo",50000,"",2017
"366","Rudy Gay",50000,"",2017
"367","Zach Lavine",50000,"",2017
"368","Dirk Nowitzki",80000,"",2017
"369","Pau Gasol",80000,"",2017
"370","Jeremy Lin",200000,"",2017
"371","Giannis Antetokounmpo",475,"**  WINNER  **",2018
"372","LeBron James",385,"",2018
"373","Anthony Davis",450,"",2018
"374","James Harden",600,"",2018
"375","Kevin Durant",1100,"",2018
"376","Kawhi Leonard",1200,"",2018
"377","Russell Westbrook",1950,"",2018
"378","Joel Embiid",2000,"",2018
"379","Stephen Curry",2100,"",2018
"380","Ben Simmons",3500,"",2018
"381","Kyrie Irving",3600,"",2018
"382","Donovan Mitchell",4500,"",2018
"383","Karl-Anthony Towns",6600,"",2018
"384","Damian Lillard",7500,"",2018
"385","DeMar DeRozan",8000,"",2018
"386","Victor Oladipo",8000,"",2018
"387","Jimmy Butler",10000,"",2018
"388","John Wall",10000,"",2018
"389","Khris Middleton",10000,"",2018
"390","LaMarcus Aldridge",10000,"",2018
"391","Nikola Jokic",10000,"",2018
"392","Paul George",10000,"",2018
"393","Jayson Tatum",12500,"",2018
"394","Chris Paul",15000,"",2018
"395","Devin Booker",15000,"",2018
"396","Gordon Hayward",15000,"",2018
"397","Aaron Gordon",25000,"",2018
"398","Blake Griffin",25000,"",2018
"399","DeMarcus Cousins",25000,"",2018
"400","Kristaps Porzingis",25000,"",2018
"401","Kyle Lowry",25000,"",2018
"402","Isiah Thomas",30000,"",2018
"403","Terry Rozier",35000,"",2018
"404","Kevin Love",40000,"",2018
"405","Al Horford",50000,"",2018
"406","Klay Thompson",50000,"",2018
"407","Lonzo Ball",50000,"",2018
"408","Luka Doncic",50000,"",2018
"409","Andre Drummond",100000,"",2018
"410","Andrew Wiggins",100000,"",2018
"411","Bradley Beal",100000,"",2018
"412","Carmelo Anthony",100000,"",2018
"413","D'Angelo Russell",100000,"",2018
"414","DeAndre Jordan",100000,"",2018
"415","Draymond Green",100000,"",2018
"416","Dwyane Wade",100000,"",2018
"417","Eric Bledsoe",100000,"",2018
"418","Kemba Walker",100000,"",2018
"419","Kyle Kuzma",100000,"",2018
"420","Marc Gasol",100000,"",2018
"421","Markelle Fultz",100000,"",2018
"422","Zach Lavine",100000,"",2018
"423","Giannis Antetokounmpo",210,"**  WINNER  **",2019
"424","Stephen Curry",475,"",2019
"425","James Harden",800,"",2019
"426","Anthony Davis",850,"",2019
"427","Kawhi Leonard",1000,"",2019
"428","LeBron James",1000,"",2019
"429","Joel Embiid",1200,"",2019
"430","Nikola Jokic",1200,"",2019
"431","Damian Lillard",3000,"",2019
"432","Paul George",3000,"",2019
"433","Ben Simmons",4000,"",2019
"434","Russell Westbrook",4000,"",2019
"435","Luka Doncic",4500,"",2019
"436","Kyrie Irving",5000,"",2019
"437","Karl Anthony Towns",7000,"",2019
"438","Donovan Mitchell",8000,"",2019
"439","Kemba Walker",10000,"",2019
"440","Zion Williamson",10000,"",2019
"441","Jimmy Butler",15000,"",2019
"442","Kristaps Porzingis",15000,"",2019
"443","Pascal Siakam",15000,"",2019
"444","Devin Booker",20000,"",2019
"445","Jamal Murray",20000,"",2019
"446","Blake Griffin",22500,"",2019
"447","Andre Drummond",25000,"",2019
"448","Bradley Beal",25000,"",2019
"449","Brandon Ingram",25000,"",2019
"450","D'Angelo Russell",25000,"",2019
"451","Danilo Gallinari",25000,"",2019
"452","DeAndre Ayton",25000,"",2019
"453","DeMar DeRozan",25000,"",2019
"454","Draymond Green",25000,"",2019
"455","Jaylen Brown",25000,"",2019
"456","Jayson Tatum",25000,"",2019
"457","Klay Thompson",25000,"",2019
"458","Rudy Gobert",25000,"",2019
"459","De'Aaron Fox",27500,"",2019
"460","Trae Young",27500,"",2019
"461","Aaron Gordon",50000,"",2019
"462","Andrew Wiggins",50000,"",2019
"463","Derrick Rose",50000,"",2019
"464","Fred VanVleet",50000,"",2019
"465","Gordon Hayward",50000,"",2019
"466","Ja Morant",50000,"",2019
"467","Jrue Holiday",50000,"",2019
"468","Kevin Love",50000,"",2019
"469","Kyle Lowry",50000,"",2019
"470","LaMarcus Aldridge",50000,"",2019
"471","Lauri Markkanen",50000,"",2019
"472","Lonzo Ball",50000,"",2019
"473","Lou Williams",50000,"",2019
"474","Mike Conley",50000,"",2019
"475","Nikola Vucevic",50000,"",2019
"476","Victor Oladipo",50000,"",2019
"477","Zach LaVine",50000,"",2019
"478","Chris Paul",100000,"",2019
"479","DeMarcus Cousins",100000,"",2019
"480","Kyle Kuzma",150000,"",2019
"481","Nikola Jokic",2500,"**  WINNER  **",2020
"482","Luka Doncic",400,"",2020
"483","Giannis Antetokounmpo",500,"",2020
"484","LeBron James",800,"",2020
"485","Anthony Davis",900,"",2020
"486","Stephen Curry",1100,"",2020
"487","Kevin Durant",1200,"",2020
"488","Damian Lillard",2000,"",2020
"489","James Harden",2000,"",2020
"490","Jimmy Butler",2200,"",2020
"491","Kawhi Leonard",2200,"",2020
"492","Jayson Tatum",2500,"",2020
"493","Devin Booker",3500,"",2020
"494","Joel Embiid",4000,"",2020
"495","Donovan Mitchell",6500,"",2020
"496","Kyrie Irving",6500,"",2020
"497","Zion Williamson",6500,"",2020
"498","Ben Simmons",8000,"",2020
"499","Chris Paul",8000,"",2020
"500","Jamal Murray",8000,"",2020
"501","Trae Young",8000,"",2020
"502","Bam Adebayo",10000,"",2020
"503","Brandon Ingram",10000,"",2020
"504","Domantas Sabonis",10000,"",2020
"505","Ja Morant",10000,"",2020
"506","Jaylen Brown",10000,"",2020
"507","Pascal Siakam",10000,"",2020
"508","Paul George",10000,"",2020
"509","Russell Westbrook",10000,"",2020
"510","Karl-Anthony Towns",15000,"",2020
"511","Kyle Lowry",15000,"",2020
"512","Victor Oladipo",15000,"",2020
"513","Caris LeVert",20000,"",2020
"514","De'Aaron Fox",20000,"",2020
"515","John Wall",20000,"",2020
"516","Kemba Walker",20000,"",2020
"517","Malcolm Brogdon",20000,"",2020
"518","Nikola Vucevic",20000,"",2020
"519","Rudy Gobert",20000,"",2020
"520","Shai Gilgeous-Alexander",20000,"",2020
"521","Aaron Gordon",25000,"",2020
"522","CJ McCollum",25000,"",2020
"523","D'Angelo Russell",25000,"",2020
"524","Fred VanVleet",25000,"",2020
"525","Goran Dragic",25000,"",2020
"526","Khris Middleton",25000,"",2020
"527","Kristaps Porzingis",25000,"",2020
"528","Lamarcus Aldridge",25000,"",2020
"529","TJ Warren",25000,"",2020
"530","Tobias Harris",25000,"",2020
"531","Zach LaVine",25000,"",2020
"532","Blake Griffin",30000,"",2020
"533","Buddy Hield",30000,"",2020
"534","Devonte' Graham",30000,"",2020
"535","Gordon Hayward",30000,"",2020
"536","Jrue Holiday",30000,"",2020
"537","Danilo Gallinari",40000,"",2020
"538","DeAndre Ayton",40000,"",2020
"539","Demar Derozan",40000,"",2020
"540","Jaren Jackson Jr",40000,"",2020
"541","Andre Drummond",50000,"",2020
"542","Andrew Wiggins",50000,"",2020
"543","Bojan Bogdanovic",50000,"",2020
"544","Carmelo Anthony",50000,"",2020
"545","Derrick Rose",50000,"",2020
"546","Draymond Green",50000,"",2020
"547","Duncan Robinson",50000,"",2020
"548","Evan Fournier",50000,"",2020
"549","Joe Harris",50000,"",2020
"550","Jusuf Nurkic",50000,"",2020
"551","Kevin Love",50000,"",2020
"552","Lonzo Ball",50000,"",2020
"553","Malik Beasley",50000,"",2020
"554","Michael Porter Jr",50000,"",2020
"555","Montrezl Harrell",50000,"",2020
"556","Spencer Dinwiddie",50000,"",2020
"557","Tyler Herro",50000,"",2020
"558","Al Horford",100000,"",2020
"559","Anthony Edwards",100000,"",2020
"560","Austin Rivers",100000,"",2020
"561","Bobby Portis",100000,"",2020
"562","Brook Lopez",100000,"",2020
"563","Christian Wood",100000,"",2020
"564","Collin Sexton",100000,"",2020
"565","DeAndre Jordan",100000,"",2020
"566","Dejounte Murray",100000,"",2020
"567","Dennis Schroder",100000,"",2020
"568","Dwight Howard",100000,"",2020
"569","Eric Bledsoe",100000,"",2020
"570","Eric Gordon",100000,"",2020
"571","James Wiseman",100000,"",2020
"572","Jarrett Allen",100000,"",2020
"573","Jeff Green",100000,"",2020
"574","JJ Redick",100000,"",2020
"575","Joe Ingles",100000,"",2020
"576","John Collins",100000,"",2020
"577","Jonas Valanciunas",100000,"",2020
"578","Julius Randle",100000,"",2020
"579","Kyle Kuzma",100000,"",2020
"580","LaMelo Ball",100000,"",2020
"581","Lauri Markkanen",100000,"",2020
"582","Louis Williams",100000,"",2020
"583","Markelle Fultz",100000,"",2020
"584","OG Anunoby",100000,"",2020
"585","Patrick Beverley",100000,"",2020
"586","Rajon Rondo",100000,"",2020
"587","RJ Barrett",100000,"",2020
"588","Serge Ibaka",100000,"",2020
"589","Steven Adams",100000,"",2020
"590","Terry Rozier",100000,"",2020
"591","Timothe Luwawu-Cabarrot",100000,"",2020
